sales_date,all_category_net_sales_kg,month,weekday
2023-01-26,869.648,1,3
2023-01-27,971.905,1,4
2023-01-28,782.762,1,5
2023-01-29,650.097,1,6
2023-01-30,594.155,1,0
2023-01-31,556.901,1,1
2023-02-01,463.927,2,2
2023-02-02,562.904,2,3
2023-02-03,625.418,2,4
2023-02-04,758.379,2,5
2023-02-05,672.711,2,6
2023-02-06,409.208,2,0
2023-02-07,390.211,2,1
2023-02-08,414.344,2,2
2023-02-09,517.397,2,3
2023-02-10,499.062,2,4
2023-02-11,699.824,2,5
2023-02-12,728.22,2,6
2023-02-13,514.592,2,0
2023-02-14,435.448,2,1
2023-02-15,441.746,2,2
2023-02-16,410.338,2,3
2023-02-17,477.152,2,4
2023-02-18,736.534,2,5
2023-02-19,609.207,2,6
2023-02-20,325.555,2,0
2023-02-21,373.193,2,1
2023-02-22,366.296,2,2
2023-02-23,403.532,2,3
2023-02-24,430.813,2,4
2023-02-25,603.739,2,5
2023-02-26,581.453,2,6
2023-02-27,326.214,2,0
2023-02-28,329.292,2,1
2023-03-01,367.98,3,2
2023-03-02,365.459,3,3
2023-03-03,449.219,3,4
2023-03-04,491.903,3,5
2023-03-05,489.968,3,6
2023-03-06,310.3,3,0
2023-03-07,357.064,3,1
2023-03-08,339.829,3,2
2023-03-09,324.36,3,3
2023-03-10,401.679,3,4
2023-03-11,593.696,3,5
2023-03-12,533.724,3,6
2023-03-13,325.79,3,0
2023-03-14,321.425,3,1
2023-03-15,394.659,3,2
2023-03-16,452.396,3,3
2023-03-17,644.32,3,4
2023-03-18,765.055,3,5
2023-03-19,663.319,3,6
2023-03-20,458.947,3,0
2023-03-21,447.31,3,1
2023-03-22,442.211,3,2
2023-03-23,424.346,3,3
2023-03-24,535.75,3,4
2023-03-25,644.92,3,5
2023-03-26,662.589,3,6
2023-03-27,377.257,3,0
2023-03-28,366.945,3,1
2023-03-29,375.9,3,2
2023-03-30,383.216,3,3
2023-03-31,529.74,3,4
2023-04-01,549.891,4,5
2023-04-02,548.509,4,6
2023-04-03,444.069,4,0
2023-04-04,436.861,4,1
2023-04-05,563.828,4,2
2023-04-06,364.206,4,3
2023-04-07,375.211,4,4
2023-04-08,526.937,4,5
2023-04-09,494.053,4,6
2023-04-10,298.023,4,0
2023-04-11,343.58,4,1
2023-04-12,312.0,4,2
2023-04-13,264.709,4,3
2023-04-14,368.12,4,4
2023-04-15,518.871,4,5
2023-04-16,484.929,4,6
2023-04-17,245.216,4,0
2023-04-18,375.459,4,1
2023-04-19,336.875,4,2
2023-04-20,290.675,4,3
2023-04-21,516.763,4,4
2023-04-22,781.579,4,5
2023-04-23,570.309,4,6
2023-04-24,378.612,4,0
2023-04-25,347.961,4,1
2023-04-26,285.791,4,2
2023-04-27,315.568,4,3
2023-04-28,389.468,4,4
2023-04-29,547.642,4,5
2023-04-30,433.256,4,6
2023-05-01,486.469,5,0
2023-05-02,447.535,5,1
2023-05-03,486.862,5,2
2023-05-04,321.266,5,3
2023-05-05,309.927,5,4
2023-05-06,432.994,5,5
2023-05-07,601.33,5,6
2023-05-08,335.701,5,0
2023-05-09,326.227,5,1
2023-05-10,402.077,5,2
2023-05-11,323.143,5,3
2023-05-12,361.858,5,4
2023-05-13,509.33,5,5
2023-05-14,500.528,5,6
2023-05-15,368.445,5,0
2023-05-16,382.558,5,1
2023-05-17,319.998,5,2
2023-05-18,259.427,5,3
2023-05-19,319.032,5,4
2023-05-20,424.999,5,5
2023-05-21,490.712,5,6
2023-05-22,364.382,5,0
2023-05-23,327.916,5,1
2023-05-24,287.37,5,2
2023-05-25,291.968,5,3
2023-05-26,360.646,5,4
2023-05-27,582.511,5,5
2023-05-28,602.089,5,6
2023-05-29,319.876,5,0
2023-05-30,309.873,5,1
2023-05-31,286.857,5,2
2023-06-01,297.283,6,3
2023-06-02,353.035,6,4
2023-06-03,541.969,6,5
2023-06-04,515.814,6,6
2023-06-05,324.369,6,0
2023-06-06,348.632,6,1
2023-06-07,290.152,6,2
2023-06-08,294.852,6,3
2023-06-09,321.083,6,4
2023-06-10,570.047,6,5
2023-06-11,503.246,6,6
2023-06-12,281.254,6,0
2023-06-13,319.898,6,1
2023-06-14,286.33,6,2
2023-06-15,259.375,6,3
2023-06-16,379.087,6,4
2023-06-17,602.922,6,5
2023-06-18,576.387,6,6
2023-06-19,294.123,6,0
2023-06-20,279.285,6,1
2023-06-21,348.99,6,2
2023-06-22,454.231,6,3
2023-06-23,375.838,6,4
2023-06-24,365.833,6,5
2023-06-25,264.32,6,6
2023-06-26,231.982,6,0
2023-06-27,272.247,6,1
2023-06-28,299.124,6,2
2023-06-29,331.34,6,3
2023-06-30,324.358,6,4
